PAPEL ALUMINIO ESTANDAR 18 MTS ALNAFOL 1.00sin unidad,995.00,CARACAS,SECO,7591559000243
MEZCLA PARA PREPARAR CHICHA (BOLSA) 3P 400.00GR,994.00,CARACAS,SECO,7592212000839
CAFE,100.00,descripcion,PISO DE VENTA,7502233110974
CON SUAVISANTE 2 EN 1,5.00,descripcion,PISO DE VENTA,7595094004384
ECO RECARGA GEL  DE BANO,15.00,descripcion,PISO DE VENTA,2600012115079
FRIJOL,50.00,descripcion,PISO DE VENTA,2600012110858
MEZCLA PARA PREPARAR CHICHA (BOLSA),19.00,descripcion,PISO DE VENTA,7592212000839
NECTAR DE MANZANA UHT 1 LT FRUTEL L,10.00,descripcion,PISO DE VENTA,709862659301
PEPITONAS PICANTES,10.00,descripcion,PISO DE VENTA,7592452000163
PREPARADO DE MARGARINA,7.00,descripcion,PISO DE VENTA,7591632000931
SUAVIZANTE 1,2.00,descripcion,PISO DE VENTA,8423329115217
